,original_text,refined_text,label
0,"b'AMD #39;s new dual-core Opteron chip is designed mainly for corporate computing applications, including databases, Web services, and financial transactions.'","AMD's new dual-core Opteron processor is primarily designed for use in corporate computing environments. This chip is intended for applications such as database management, web services, and financial transactions. 
",3
1,b'Reuters - Major League Baseball\\Monday announced a decision on the appeal filed by Chicago Cubs\\pitcher Kerry Wood regarding a suspension stemming from an\\incident earlier this season.',"On Monday, Major League Baseball announced its decision on the appeal filed by Chicago Cubs pitcher Kerry Wood. The appeal was related to a suspension he received following an incident that occurred earlier in the baseball season. 
",1
2,"b'President Bush #39;s  quot;revenue-neutral quot; tax reform needs losers to balance its winners, and people claiming the federal deduction for state and local taxes may be in administration planners #39; sights, news reports say.'","President Bush's proposed ""revenue-neutral"" tax reform plan requires some individuals or groups to lose benefits in order to offset gains for others. News reports suggest that the administration is considering eliminating the federal deduction for state and local taxes, potentially impacting taxpayers who currently benefit from this deduction. 
",2
3,"b'Britain will run out of leading scientists unless science education is improved, says Professor Colin Pillinger.'","Professor Colin Pillinger warns that the UK will face a shortage of leading scientists if science education is not improved. 
",3
4,"b'London, England (Sports Network) - England midfielder Steven Gerrard injured his groin late in Thursday #39;s training session, but is hopeful he will be ready for Saturday #39;s World Cup qualifier against Austria.'","Steven Gerrard, an English midfielder, sustained a groin injury during a training session on Thursday. While the injury occurred late in the session, Gerrard remains optimistic about his recovery and hopes to be ready for England's World Cup qualifier match against Austria on Saturday. 
",1
5,b'TOKYO - Sony Corp. is banking on the \\$3 billion deal to acquire Hollywood studio Metro-Goldwyn-Mayer Inc...',"Sony Corporation is planning to acquire the Hollywood studio Metro-Goldwyn-Mayer Inc. for $3 billion. 
",0
6,"b'Giant pandas may well prefer bamboo to laptops, but wireless technology is helping researchers in China in their efforts to protect the engandered animals living in the remote Wolong Nature Reserve.'","Researchers in China are using wireless technology to help protect giant pandas in the remote Wolong Nature Reserve.  Giant pandas are known to prefer bamboo over laptops, but wireless technology is proving useful in conservation efforts. 
",3
7,"b'VILNIUS, Lithuania - Lithuania #39;s main parties formed an alliance to try to keep a Russian-born tycoon and his populist promises out of the government in Sunday #39;s second round of parliamentary elections in this Baltic country.'","Lithuania's main political parties have formed an alliance. Their goal is to prevent a Russian-born tycoon from entering the government. This alliance was formed ahead of the second round of parliamentary elections, which took place on Sunday in Lithuania. The tycoon has been campaigning on populist promises. 
",0
8,b'Witnesses in the trial of a US soldier charged with abusing prisoners at Abu Ghraib have told the court that the CIA sometimes directed abuse and orders were received from military command to toughen interrogations.',"Witnesses in the trial of a US soldier accused of mistreating prisoners at Abu Ghraib testified that the Central Intelligence Agency (CIA) occasionally directed abuse. They also stated that orders were received from military command to make interrogations more rigorous. 
",0
9,"b'Dan Olsen of Ponte Vedra Beach, Fla., shot a 7-under 65 Thursday to take a one-shot lead after two rounds of the PGA Tour qualifying tournament.'","Dan Olsen, a resident of Ponte Vedra Beach, Florida, achieved a score of 7-under-par 65 on Thursday. This performance secured him a one-shot lead after two rounds of the PGA Tour qualifying tournament. 
",1
10,"b'KABUL - Taleban-linked militants threatening to kill three UN hostages are accusing the United States of hampering their release, although an Afghan official says a ransom demand is the main stumbling block.'","The Taliban-linked militants holding three UN hostages in Kabul are accusing the United States of hindering their release. However, an Afghan official claims that the main obstacle to the hostages' freedom is the militants' demand for ransom. 
",0
11,"b'Four executives at German memory vendor Infineon Technologies and its U.S. subsidiary have pled guilty to charges of illegally setting prices for PC memory chips, the U.S. Department of Justice (DOJ) announced Thursday.'","Four executives from Infineon Technologies, a German memory chip manufacturer, and its American subsidiary have admitted to illegally setting prices for computer memory chips. This information was announced by the U.S. Department of Justice on Thursday. 
",3
12,"b'Yahoo Inc. has agreed to extend its deal to place advertisements on Microsoft Corp. #39;s MSN sites in the United States and overseas by one year through June 2006, Yahoo said on Thursday.'","Yahoo Inc. has extended its agreement with Microsoft Corp. to display advertisements on MSN websites. This extension covers both the United States and international locations, and it will be in effect until June 2006. 
",3
13,"b'The World Health Organization, UNICEF and other partners are launching a large-scale polio immunization campaign in 23 African countries.'","The World Health Organization, UNICEF, and other organizations are working together to implement a major polio vaccination program across 23 countries in Africa. 
",0
14,b'IPE.com 5/Oct/04: UK - Drinks firm Diageo has transferred four million shares in US cereal maker General Mills to its UK pension plan to help cut the schemes 750 million-pound (1.',"Diageo, a UK-based drinks company, transferred four million shares of General Mills, a US cereal maker, to its UK pension plan. This transfer aims to reduce the pension plan's deficit of 750 million pounds. 
",2
15,"b'London, Oct 04 - Thierry Henry scored twice as arsenal easily beat Charlton 4-0 to extend its unbeaten premier league streak to 48 matches and bounce back from alleged team disunity.'","Arsenal, led by Thierry Henry's two goals, defeated Charlton 4-0 in the Premier League. This victory extended Arsenal's unbeaten streak to 48 matches, signifying their continued dominance in the league. The match marked a return to form for Arsenal following reports of internal team issues. 
",1
16,"b""WASHINGTON - There's a new option for people who suffer from extreme nearsightedness, whose world loses its crisp edge just a few inches from their noses. The first implantable lens for nearsightedness was approved Monday by the Food and Drug Administration...""","The Food and Drug Administration (FDA) has approved the first implantable lens for nearsightedness. This new option is designed to help people with extreme nearsightedness, whose vision becomes blurry at close distances. 
",0
17,"b""The Google Playboy Interview In Its Entirety\\\\The infamous Playboy Interview of Sergey Brin and Larry Page, the Google Guys, is now not only available on newsstands all over the country, but also on the Security Exchange Commission's website because of a possible SEC violation. Now, it will be more difficult ...""","The Google founders, Sergey Brin and Larry Page, were interviewed by Playboy magazine. This interview is now publicly available both in physical copies and online on the Securities and Exchange Commission's website. The interview's presence on the SEC website is due to a potential violation of SEC regulations.  
",3
18,"b""&lt;strong&gt;Cash'n'Carrion&lt;/strong&gt; Get 'em in by Sunday""","The text ""**Cash'n'Carrion** Get 'em in by Sunday"" is a promotional message that likely refers to a sale or event related to the company or brand ""Cash'n'Carrion."" The message indicates that the sale or event has a deadline of Sunday. 
",3
19,"b'Urban Meyer, who guided Utah to an 11- 0 record this season, was named football coach at the University of Florida today. Meyer received a seven-year, \\$14 million contract to replace Ron Zook, who was fired Oct.'","Urban Meyer, the coach who led Utah to an undefeated season with an 11-0 record, has been appointed as the new head football coach at the University of Florida. Meyer has signed a seven-year contract worth $14 million, replacing Ron Zook who was dismissed from the position in October. 
",1
20,"b'The Fighting Irish opened the season Saturday night with a 20-17 loss at Brigham Young, a performance that doesn #39;t give much hope for a turnaround season.'","The Notre Dame Fighting Irish began their season with a 20-17 defeat against Brigham Young University on Saturday night. This result suggests that a significant improvement in their performance may be unlikely this season. 
",1
21,b'By Hugh Williamson in Berlin and Richard Milne in Rsselsheim. The mood at Opel #39;s Rssel-heim factory near Frankfurt was as chilly yesterday as the weather.',"The atmosphere at Opel's Russelsheim factory near Frankfurt was somber on the day in question, mirroring the chilly weather. This was reported by Hugh Williamson in Berlin and Richard Milne in Russelsheim. 
",2
22,"b'NEW YORKIBM said yesterday it is in talks to settle a mammoth lawsuit alleging a pension plan adopted by the firm in the 1990s discriminated against 140,000 older workers.'","IBM announced that it is currently in discussions to resolve a significant lawsuit. The lawsuit alleges that a pension plan implemented by IBM in the 1990s unfairly discriminated against 140,000 older workers. 
",2
23,b'By wire services. Now it #39;s Roy Oswalt  #39;s turn to try to pitch the Astros to their first playoff series victory. He can only hope for more help from his bullpen than Roger Clemens got Sunday.',"Roy Oswalt will attempt to pitch the Astros to their first playoff series win. He hopes for better support from his bullpen than Roger Clemens received in the previous game. 
",1
24,"b'Sony BMG - aka  #39;Bony #39; - the merged music label is in talks with Grokster, the P2P software company has confirmed. Negotiations are believed to be focused on the development of a new, label-friendly P2P network.'","Sony BMG, sometimes referred to as ""Bony"", the merged music label, is in discussions with Grokster, a peer-to-peer (P2P) software company. Grokster has confirmed the talks. It is believed that the negotiations are centered on creating a new P2P network that is acceptable to music labels. 
",3
25,"b'AP - The Worcester IceCats will move to Peoria, Ill., next season after the sale of the AHL team by the St. Louis Blues is completed.'","The Worcester IceCats, an American Hockey League team owned by the St. Louis Blues, will relocate to Peoria, Illinois, for the upcoming season. This move will take effect after the sale of the team is finalized. 
",1
26,"b'NEW YORK (Dow Jones)--Infineon Technologies AG (IFX) said it will build a new front-end production plant in Kulim High Tech Park, Malaysia.'","Infineon Technologies AG, a German semiconductor company, announced plans to build a new front-end production facility in Kulim High Tech Park, Malaysia. 
",2
27,b'Rupert Murdoch #39;s News Corporation today took steps to head off a potential takeover by rival mogul John Malone with a  quot;poison pill quot; plan to dilute the shareholdings of would-be predators.',"News Corporation, owned by Rupert Murdoch, implemented a ""poison pill"" plan to prevent a potential takeover by John Malone. This plan would dilute the shares of any potential acquirer, making a takeover attempt less attractive. 
",2
28,"b'Thousands of pilgrims streamed into the Imam Ali Shrine in Najaf yesterday as militants left, handing the keys to religious authorities after Iraq #39;s top Shia cleric '","Many pilgrims traveled to the Imam Ali Shrine in Najaf after militants left the area. The militants handed over control of the shrine to religious authorities, following the request of Iraq's highest Shia religious leader. 
",0
29,"b'VOLOS, Greece At least the Manchester United manager, Alex Ferguson, will be pleased that he has Cristiano Ronaldo back early from the Olympics. If only Ronaldo were happy to see him. '","Alex Ferguson, the manager of Manchester United, is happy that Cristiano Ronaldo has returned early from the Olympics. However, it is unclear if Ronaldo shares the same sentiment. 
",1
30,b'AP - A new political strategy has emerged in this photo-finish presidential race: File a flurry of lawsuits before the first votes are even tallied.',"In the current presidential race, which is extremely close, a new political strategy has emerged. This strategy involves filing numerous lawsuits before any votes are actually counted. 
",0
31,"b'The United States Anti-Doping Agency received an important validation when sprinter Michelle Collins, 33, received an eight-year suspension on Friday.'","The United States Anti-Doping Agency received confirmation of its work when sprinter Michelle Collins, 33 years old, was given an eight-year suspension on Friday. 
",1
32,"b'Wireless broadband systems should be available next year, WaveSat says.'","WaveSat has announced that wireless broadband systems will be available next year. 
",3
33,"b""The UK's switch to digital television could begin as soon as 2007, according the media watchdog Ofcom.""","The United Kingdom's transition to digital television could start as early as 2007, according to the media regulator Ofcom. 
",2
